TS,TJ
348852333,242273251
852649893,733947072
755392974,655717625
927230106,815998112
925986438,793385300
553136438,421649911
640519080,518369330
304663079,303955953
239289144,237962061
557503507,550504674
223053056,221867292
211342397,210943042
240922898,240209420
231677189,230906121
245262140,244496533
246023444,245369117
246936262,246279697
215774678,215070324
231647934,230645898
352818594,320121644
211643120,211038166
193282478,192838569
219808117,219413807
236013975,234901215
212892694,212542267
268191141,267126080
303407989,301483157
301981297,291445102
259473845,258343081
124435061,123618424
187807542,187172175
210444678,209566747
210310589,209937574
227571015,226801178
221814423,221060034
205597193,205227907
186981857,186558265
168981500,168359845
198861434,197454198
201753655,199424914
30831795,30400646
203222973,202806541
222281665,221653738
220078304,219565282
227271444,226534978
231224057,230351911
195755900,195154416
265355392,264694319
268012245,260550868
260021553,258944303
193203178,192253689
185604168,185108052
215357689,214990054
215455762,215167214
194768969,194194922
190362347,190062855
222701553,222398719
218968659,218728666
200509649,199840698
187609344,186251818
188075670,187833617
112507235,109861306
219835033,218998762
237764687,237104799
238268263,237002246
272213002,271268486
260798558,260115683
275635773,274866973
237013296,235768647
318190414,316982509
267997582,267337494
33842644,33444971
148666786,146746732
178360154,177952426
180694351,180348222
173355707,172769631
192824755,192181219
236099922,234449645
217406024,216682129
186293244,185841990
220963512,220568616
198165206,197552974
195889463,195305665
99979366,99357701
141715135,141351161
173777208,173026273
183488117,183230768
152945303,152362836
156484718,156157230
162676900,162378506
189764508,188251650
149035422,148634124
152448481,151935029
67572800,67278164
81703562,80750206
87016353,86641972
87274617,86843673
74171158,73680849
216986112,216403028
237988490,237393393
235527591,235168890
247560530,247099180
245849301,245587319
251069279,250614438
178988783,178729374
213417673,212132931
205636235,205112614
211187256,210841680
32407938,31658752
48730658,48211249
52138840,51867197
195640984,195051934
204591345,204355455
205415246,205068369
206184392,205842046
210885846,210509211
221879280,221513319
256844861,255399576
205291603,203678539
189878485,189266499
186386472,186007946
201543773,201135515
209257477,208914171
225122636,224493489
244299178,243822318
265407464,264170389
331006466,323764421
200156485,199701153
216614427,216072466
294857640,294544444
309640362,308860051
352135542,351523972
339188714,337965762
359869703,359545814
361240736,360935595
300978397,300598580
386017217,385314353
313520191,313080829
326039630,325542132
241650074,241103948
251519655,251180631
344057379,343328897
327301840,326910422
363632343,362174305
311926898,311450734
368385194,367851499
305867098,305446905
336069831,335835538
309817630,309578756
177538010,177094426
181262469,180857965
201321166,200746362
197300290,196957845
197805558,197463258
233412163,232300882
183198636,182825829
189314513,189012199
192239269,191929305
217663572,217179001
239947801,239222604
242133900,241564284
194405454,193632125
210232821,209870376
240545078,240275502
221077646,220538325
272411743,271804867
241854601,241334826
250408218,250064431
270007009,269646738
217029647,216654386
219201387,215864299
39239458,38407223
172584630,171932390
169220221,168812568
192573413,192032528
180174429,179907818
187331437,186876222
221832752,221299179
236710160,236402393
175951827,175401710
192031884,191705361
120796282,120381835
193116429,192546216
199148195,198871821
198655844,198138768
212094441,211877655
208568428,208362525
210681067,210302830
224089771,223546865
226673186,226281928
256572200,256307363
264713004,264246232
192185173,191504860
183876904,183499292
194644709,194452656
194805009,194513318
205685321,205489850
202997619,202692509
213267667,212696143
226742029,226160072
289516090,289171863
