TS,TJ
305049265,303883022
154179208,148883771
260635691,255269902
57161854,51774049
29078433,28842504
44004359,43776411
149452679,149270668
157195999,157041588
166901568,166750423
158334964,158210927
185469173,184980014
149095236,148947568
144323457,144018735
62118393,61766493
74281657,74067846
23797624,23540685
187155094,186800574
228258160,228011712
229607266,229492577
227030439,226853515
257599654,252929260
225416922,225280298
235204715,234998588
181039414,180942633
174953235,174868931
137137059,136861366
44837395,44695375
51462374,51287672
55817914,55727945
146756044,146526831
154961937,154742477
161726767,161637410
162888211,162776085
163543496,163395365
162166002,162054088
172034799,171955020
25119386,24983664
39316970,39048996
34376799,34216780
37263013,36985130
160209925,160087676
158708501,158602061
186422074,186108426
192692010,192454419
190422966,190270528
194114780,193984971
151418202,151190146
201261181,200834963
144835613,144632874
27161859,26920873
74804703,74557543
70456188,70370736
235512642,235394026
256159318,256039099
234309920,234205015
235871134,235665529
231323917,231177325
247223183,247147432
250362702,250161117
241030633,240950805
96165383,96037938
82713687,82361696
207352483,207144641
193565331,193397996
225338013,225110063
238811868,238512293
214060747,213892396
237421774,237256260
206623756,206466707
219923006,219699081
241893740,241658927
203787667,203425373
191559233,191303588
194773854,194551020
199093636,198977262
218346697,218230159
211752706,211574315
214106398,214015352
223071492,222907415
214632547,214516915
222409079,222266204
223590534,223293754
214930445,214742511
200279088,200154601
224514697,224357579
233777575,233640218
220117662,220053037
222863785,222692249
230445252,230367578
224110903,224031093
224347672,224217867
225029980,223649831
192267385,192099318
213664498,213478447
210797664,210600057
213913553,213709314
217988586,215588598
226063258,225926521
217078863,217009236
221649021,221578279
221882195,221725994
219096371,218982651
204597327,204454383
210992583,210915577
212012298,211938580
225205658,225034001
231613448,231512308
217883839,217762296
223798808,223690235
231523704,231414393
233811857,233648390
232355627,232012181
188805419,188553072
390343723,390136873
388759310,388574320
410873118,410689425
420949955,420830508
430687296,430617055
428254581,428121926
436194195,435893494
427532297,427180333
427567389,426694166
24258127,24028762
108996523,108794511
135305799,134775222
222991971,222775264
226649876,226573069
227617751,227551924
218445586,218242256
237503031,237401239
223482063,223370192
236802877,236735058
169356094,169269655
39515135,39168641
37295981,36725540
176891429,176729011
174357918,174166455
177394907,177278292
179998348,179905481
160893593,160788540
162803222,162705650
165173808,165082866
168681341,168384433
60400101,60185916
50144583,50000643
175381162,175207892
180357194,180250633
183584203,183491278
185951344,185855595
185257930,185158354
186281175,186180943
187540362,187483460
195377031,195085198
50669843,50516081
38415246,38238294
99633265,99446183
123929634,123736189
152088154,151825225
150166125,150015267
149267610,149147323
152204032,152027019
152310654,152223699
148663630,148539342
163961517,163763011
199059254,198957108
201735240,201576542
202719845,202563746
206545113,206439447
208216829,208156208
186570583,186450533
195738734,195650417
196495621,196390670
24963053,24714408
215615465,215439002
159134276,158993506
222662722,222589952
220443427,220298363
225521556,225418546
223767116,223660676
231788428,231664119
232535951,232468082
223101170,223041536
222247340,222184822
204634217,204485108
215584188,215507247
215741689,215658253
220830001,220700997
225130816,224993209
225554208,225489217
216873112,216753572
232141638,231922218
232568476,232413572
232837010,232748746
214279254,214181039
207881937,207661333
229735403,229636801
221532985,221430635
221073665,221008414
229174941,229115513
230970727,230870623
225956702,225897597
232837947,232692223
231060593,230957150
104010301,103802176
196461379,196298615
209267465,209127392
200143517,200076832
208579917,208410164
209612920,209519928
205498527,205373536
212904305,212842660
207548465,207482864
208669618,208570912
23743160,23570701
193722011,193604946
201615917,201474524
202960705,202902094
200517577,200457531
201632774,201565342
202720726,202615167
209239816,209190519
213372347,213235261
215908452,215801723
234282400,234139626
229269265,229208527
214678316,214616122
231828938,231641053
221609949,221504810
222630591,222488729
213169536,213108163
230574073,230457367
220401227,220308439
218928636,218623208
143060718,142883347
174086697,173887601
201722893,201619635
205729072,205583406
204030815,203966886
209758061,209689348
206420838,206314428
207925272,207833366
211488374,211391006
213269556,213172159
195341437,195145129
213481923,213277567
206611043,206542308
205996482,205931250
216106685,215948060
216023443,215965971
218247642,218191362
221482469,221364095
223650900,223340791
226329218,226134613
200885448,200652614
210387446,210182133
202252200,202178196
205730231,205662780
204253783,204185928
203619596,203554899
219228425,218998019
214540592,214479573
209771260,209705491
220259971,220158787
131144038,130942601
194232126,194036803
199300654,199178167
196739293,196675264
203121706,203003803
205308988,205214704
201243729,201143014
206574383,206474680
203638524,203579059
209486111,209383297
23639590,23475339
172130180,172023922
194233078,194059666
191835595,191729802
202190713,202091133
189501137,189432270
190685458,190624790
211732239,211580709
202215322,202156650
202942391,202807378
223985737,223799088
216623801,216562745
216400755,216297557
217898764,217831966
225315094,225221668
225975973,225863288
227958059,227869271
221218523,221042322
236463870,236280100
232139598,232074889
104272201,104108445
149140706,149026319
165258954,165084624
161297914,161141837
169242104,168984230
176409429,176298316
177147194,177052204
176759233,176641732
45734773,45571539
42912189,42785625
120491332,120315828
157102831,157009794
152233615,152168088
157335436,157190524
162935647,162840651
175339249,175236431
171718130,171652323
167052077,166878411
190741256,190517141
184461303,184323250
201960566,201829514
225547683,225440681
207882582,207784323
224984255,224869117
223444002,223380142
214497714,214302087
229883316,229822604
211918949,211763283
155689344,155507167
210301440,210132999
199092456,198978199
209190307,209129719
215641889,215527748
218766381,218639804
217804167,217711737
213320122,213258218
216315281,216117645
223161687,223025628
178155633,177986060
176746973,176623138
185534425,185414450
188410345,188242892
190951019,190845728
200572611,200508134
214071908,213969027
202447114,202381485
199784761,199687318
204034794,203900487
194761104,194586490
217680290,217489439
204498239,204343128
223069846,222934793
208186652,208086571
212637092,212404345
215892125,215785759
211392264,211252750
211423645,211327687
212871090,212752827
23428611,23314355
211096696,210905808
202122287,201946854
204452830,204393648
206247489,206149351
222718329,222624747
216424759,216354121
212380635,212263255
230596571,230515288
232820378,232513360
207721102,207610676
233091782,232829459
220265461,220198827
229924697,229740081
221148659,221054679
226607835,226480390
227389542,227246603
232777667,232603951
230905625,230815822
231192280,231101698
24954881,24663930
286904963,286686347
271412168,271190633
314948255,314661014
283116167,283019517
285223820,285132947
291038411,290884368
292373905,292257999
290764911,290667692
287175725,287076260
293928996,293667089
190743002,190588885
189311915,189167920
187518181,187370738
215510327,215379843
218644542,218585160
210966112,210905904
212065627,211970194
222624161,222560908
212952856,212792669
223460915,223166619
39797375,39611681
46758712,46644112
123397873,123294314
228182665,228028391
241110353,240931299
237801916,237671795
242485529,242394310
246961461,246897630
260502579,260408775
244071413,243998302
262641979,262580923
256896005,256751628
25393821,25112743
97255678,96845920
196183077,196072498
196155327,196075972
213649399,213565408
209742494,209685105
215327308,215212031
215257679,215196022
222790198,222721742
212561107,212424078
219046825,218775872
23053763,22955926
173953773,173767327
204857769,204587703
196485327,196356363
203674148,203576647
210737934,210632289
210614087,210467865
215376824,215291003
211622468,211501836
212470348,212412094
213343110,213202969
26812151,26459308
193912871,193732407
203527996,203439092
208147696,208034485
214509855,214445113
214004195,213896831
213994555,213894636
214192539,214095923
222144337,222037081
222199870,221899920
24383357,24183322
211653794,211485889
212615885,212463630
216936476,216825625
219369998,219313207
231789070,231629911
225234193,225130089
225900150,225826953
232626826,232571400
226439981,226351552
233841849,233779542
24439634,24228486
187285910,187176222
195784233,195659699
194452354,194337471
198900817,198773811
212101274,211924342
204030440,203937453
215825372,215707418
218314377,218187893
222080071,221976063
26760173,26475504
218130565,217755149
214844293,214774220
201821277,201761740
219693692,219536971
214273503,214176139
215818756,215758689
224278347,224220132
218508077,218407318
223282011,223177780
227371277,227283405
208215165,208012288
217435942,217316766
232832249,232692136
224255327,224163272
221312078,221254927
222953632,222845849
229793730,229700998
230014772,229957082
237518353,237397489
239088018,238905031
195625061,195460106
226731359,226569489
223918784,223821133
221932996,221745836
221774500,221609835
232780356,232659799
227982645,227885225
248691185,248585529
244319037,244200876
242494340,242401835
205121226,204999617
190694748,190526891
215708290,215545548
209452699,209350531
230449984,230391997
213510211,213409016
228758262,228615284
214182372,214097801
221585130,221476253
240936426,240832533
229400980,229057820
221202660,221132399
217261969,217148259
224597400,224483615
226290757,226190679
221930172,221818675
222488382,222433188
243030437,242885009
229091865,228969071
224991519,224690314
199631365,199444537
204536926,204423286
205523686,205465251
211057901,210942741
214631571,214568014
229817487,229761319
217885436,217774417
233033559,232919288
218499443,218440923
241834988,241525537
173119709,172948040
172706135,172628669
191571758,191480789
195942233,195875962
202878084,202738432
209287090,209156964
214805383,214715487
224073089,223875030
234516422,234168417
229218734,228931544
203352705,203122636
193358105,193273463
212708459,212643416
206586747,206526733
202804425,202679659
207170271,207075053
206996489,206940368
211890148,211744951
212844625,212784884
213811687,213667160
190237250,190052718
214304064,214155944
213328014,213222475
228494010,228388809
218678150,218622622
226439830,226370079
226711251,226655611
227005316,226896967
241054886,240952981
229299949,229151316
225798034,225674298
216602486,216461845
220410783,220315960
216541441,216482341
234127711,234019311
218797121,218692970
219897224,219791582
226581670,226478741
228654648,228504408
222646270,222440010
193183238,192993985
198898682,198801754
188602466,188512600
196251368,196100323
232778999,232469478
207925729,207796310
204754802,204656377
210202143,210095095
221240375,221145482
216153362,216096557
23319770,23145514
193088174,192901045
205380258,205321646
203085693,202986863
213310452,213200650
215549991,215455336
207461692,207269647
207961804,207723331
217009315,216731533
222093200,222032344
210674213,210377109
201834246,201746287
207515556,207326424
209216973,209118503
231206358,231105277
214405567,214280906
232232783,232123302
223620343,223505822
232388417,232205603
220846766,220583986
119689055,119499401
201496266,201316551
208903205,208757341
208429804,208326628
207686804,207591191
198540497,198476052
213295710,213193237
222644687,222587583
215215537,215023070
226473670,226408555
132756224,132643532
189175088,189076368
195645056,195571990
219119430,218968017
221200016,221086816
206989368,206887258
207469612,207368946
214901941,214793152
221016601,220928359
214791050,214709384
198436255,198221991
214626291,214435395
202401658,202318873
218234617,218173554
206285525,206104292
204737973,204639284
213538298,213325810
209448751,209361494
210315393,210218681
214471546,214205226
121688277,121512585
211821649,211648379
207769338,207640445
217624969,217562719
207612292,207499326
209454036,209395859
223594505,223373220
217933925,217807231
225132129,224997110
222363252,222036547
204120083,203997102
201344236,201131116
227567415,227438247
