TS,TJ
72884504,72589101
278746202,278530582
177533210,177325722
24704856,24418662
23384461,23216425
93565220,93411257
100337252,100278652
99139699,98855281
75489388,75410773
67039802,66822045
45367170,45226054
41801311,41585668
107532997,107392461
126226144,126146778
142685495,142422529
161139790,161011339
141824670,141733565
145731019,145645458
114050807,113934489
108563140,108315047
122670870,122409130
42449364,42238936
24518685,24347411
88966855,88891899
115257828,115185085
144025862,143925234
149272044,149215908
171840718,171609051
144886003,144751452
156142577,156041743
131847499,131748290
144439162,144382227
95820875,95712783
23333905,23258953
24194512,24016136
127769717,127685265
144143267,144026259
157079802,157015057
150742229,150675280
173754944,173557969
166203454,166151031
178390992,178251939
165631847,165546254
144933897,144845183
112321563,112028772
24459148,24320174
132926311,132734996
129529425,129442948
156885422,156743613
156913272,156821842
152002968,151922858
171615547,171562656
168571566,168521837
184214967,184084114
184977382,184847004
101509650,101425885
50705358,50563871
48040154,47973831
30005150,29859477
156748390,156619967
174514530,174355910
175015076,174965304
161125840,160921273
171925025,171800472
186892368,186703918
202292599,202065563
118744446,118553849
104853175,104750319
116845210,116739841
204042536,203891297
168982934,168920165
206661560,206487515
201400549,201348388
201942512,201893885
221368048,221089851
200964650,200750001
160318780,160216452
156271010,156177253
152447083,152357652
205921754,205782678
193818498,193739729
228136553,228013363
208257136,208108611
223171809,223078239
208231130,208176979
220251687,220149667
236816906,236727955
192562485,192467459
195431686,195225953
218994239,218802109
220656820,220581833
215274174,215223190
225529345,225371296
222633667,222566088
224216896,224165296
217380242,217259361
230660450,230562110
219466098,219339775
232007537,231955528
191749094,191599357
206150297,206079775
203758713,203615026
230057361,229958336
209165224,209114450
225715937,225626250
222136232,222061153
233227547,233109349
228719128,228619631
221941232,221689391
23560130,23393270
180702415,180628083
193072514,193022745
192566656,192447423
197663608,197562513
202705060,202610596
205654338,205572605
202612121,202345017
219231159,219138382
213633853,213393024
23990234,23843373
203210124,203041981
201505484,201436872
229763342,229487917
217251468,217158065
206409021,206358127
210605513,210552113
218716436,218671333
212067655,211977062
228685338,228405632
140199354,140098374
211840746,211758036
214224513,214168867
210699661,210651699
227872960,227749554
214709848,214612514
221959879,221850160
223026587,222893452
219267212,219187800
229954738,229869663
237608198,237449277
222225633,222147189
231938647,231817649
234625278,234543500
250823234,250765801
243927569,243820139
245005718,244933623
247103688,246833000
258003791,257922101
262225248,262145315
265209341,265116484
218697142,218530420
220904262,220808456
229862640,229749092
232067577,231939763
231725334,231649628
232709710,232611075
232807336,232722161
234366363,234292253
237935733,237838779
239579743,239333784
223212831,223040355
226346977,226199566
227858583,227759110
230489358,230284647
236311947,236247910
232333999,232216401
236411785,236272538
252464874,252286701
250075754,249963573
251730503,251677755
775393510,775179460
866889003,866790670
877034632,876949321
1044948466,1044772806
1061262426,1061133929
1116290147,1116134410
1130467540,1130195726
1134174121,1134039473
1198500858,1198353774
1413732813,1413660371
709076039,708910816
736198981,736052489
651934384,627166417
965642327,965557144
624130164,624050339
666950216,666789270
806007896,805859306
839055884,838880967
594221630,594017851
848252541,848169387
551142711,550977300
508187332,508031034
560483091,560354855
650039824,649963904
642163731,641932815
502636573,502334858
662810452,662585821
283113020,282978387
646774044,646687887
304076017,303928272
98103328,98016813
164211433,164032475
87565540,87481920
294742628,294654801
328422364,328222991
334958799,334782134
