TS,TJ
186230544,181208317
95706940,93136287
32416582,31676995
55230094,53360113
47292758,47018476
55273250,54998967
85087480,84441595
52949973,52514629
178332810,173368470
62486039,61930051
62796906,62167725
65890810,65506792
58769180,58235627
33569184,33093136
30312171,29351105
61704747,61380808
65150498,64029654
67498592,67015459
111015149,110578114
125969801,125336047
149091724,148274646
168182678,166250232
173301096,172667849
166779803,166461081
162899420,162624959
116805768,116567824
107048024,106826896
151982431,150999917
43868510,39729617
61265742,60909589
73800248,73359192
57570646,57095943
26844402,26414927
140652793,140354294
160631440,160384417
160267917,159880418
178877589,177882727
151110209,150807423
166657172,166011602
128350404,128122529
141135108,140931994
114944796,114622216
159209752,158589421
97931862,97503530
162504708,162086074
180001447,179600550
182955543,182536839
204455611,203216259
177063571,176624939
133316579,133122699
170169294,169805485
151525699,151058153
148494612,148361915
27377549,27183178
28406519,28203984
167557908,167295031
170405615,169954239
175902350,175676114
177898565,177466248
168675738,168456012
161953826,161612421
176836894,176190744
192709090,191661542
193563379,192852804
102524888,102084517
152364146,151857588
182506470,181715761
172009491,171691715
174428598,174220267
170613648,170263106
151306192,151152753
185489725,184930187
203003859,201940538
163057179,162914658
170155035,169311462
26275371,26031620
154862721,154368941
161973284,161655040
157916446,157678882
154655286,154256142
175806531,175509799
164829433,164623774
146621952,146298675
153624409,153377429
80605964,80428567
162228710,161791675
131714687,131403821
149587486,149181178
174319382,174047456
198814452,198037483
179167490,178761059
173501236,173381598
163312611,163165171
188913711,188587931
153728311,151210261
163420943,152873056
178150553,177572819
174513109,174400777
177882215,177551425
182534136,182319286
178668326,178379086
175771221,175513675
157112077,156994063
181658650,179811743
182438772,182014889
193063422,192206312
161445681,161042071
163978382,163844476
183380671,182972941
170783354,170606490
163749272,163617504
162054082,161768971
168534856,168316788
168599675,168478570
63275260,62874877
180933681,180180368
115304755,114944714
131199100,130839512
191847709,191436146
193434545,193198653
177041688,176822757
195477151,194846029
217701967,216904596
179469859,179129631
172045600,171934883
216832258,215920956
185547031,185339515
179750275,179485077
163943150,163824701
190494968,190288739
191027537,190707871
176532542,176394990
199911336,199783209
200563415,200145899
215087095,214757522
220620792,220219240
162943681,162585958
179546680,179303428
189006229,188865395
181679068,181421956
176811676,176632210
182468287,182274666
206594302,206218691
193895113,193217637
182151264,181692463
188873160,188575081
141935529,141686764
154872460,154710585
172987024,172633172
182560907,182388765
187664714,187486797
168996661,168826434
193756301,193579072
209722901,208914595
173113284,172765048
176849508,176511625
180196533,179807736
183756397,183431281
181837018,181597601
187189335,186944903
193894907,193666413
204490522,204059179
209474775,209198587
210968444,210652513
234393493,234242274
231409286,231165407
93495286,93097139
89965762,89788752
302122215,301913728
307213708,307008028
308309481,307977563
322593725,322316333
326269436,326070810
333807978,333558925
337921570,337803910
340100828,339694527
119610447,119448383
122972305,122833783
172347865,172103153
179042200,178772976
184531522,184421558
181455273,181278075
177976521,177726420
185152586,184912347
196119602,195861441
201066048,200766919
198151781,197969328
200469040,200201395
184150928,183863739
197740240,197540562
189205981,189080869
191876521,191751480
202943323,202615310
203990651,203823267
194302812,193943807
201548760,201184909
239666360,239342351
240204621,239184022
180282171,179807950
179613322,179497956
182902643,182687692
180337183,180151348
186071369,185959427
193385500,193255055
