TS,TJ
25019154,23871437
24783232,24555324
30288864,30033279
24759134,24531327
23633630,23488946
24644783,24480634
27749973,27283343
24779679,24571335
24351026,24206240
24660689,24451517
24339256,24134498
24473762,24263317
24946105,24676186
24422935,24183280
24962974,24745645
23741296,23598060
24444126,24215530
24302954,24102439
24648427,24420946
28505019,28155978
26101715,25845421
24946619,24690509
24387703,24162799
24395003,24240899
24026456,23816648
26996793,26684553
23740646,23578730
24042661,23888613
24553320,24342515
24596794,24372057
23918843,23773606
25142501,24930250
24640673,24415783
24986107,24807577
24206129,23996615
24221628,24067388
24421501,24267282
24206955,23997251
25432079,25155885
25329312,25060220
23916568,23783672
24612889,24410727
24985220,24722700
24714863,24488033
27797269,27380013
24402637,24203174
25395558,25175111
24347048,24102716
24520334,24292954
24698147,24463896
25812390,25569837
24361432,24201110
24222102,24053228
24321598,24172449
23629742,23489034
25240758,25070685
24246085,24037191
23862289,23712359
24809300,24506797
25491274,25220249
24244027,24104859
27685152,27320310
24578958,24381503
25908355,25621341
25212402,24952603
26040982,25741290
25072015,24840769
25624428,25404127
24708129,24496802
25732674,25475906
24780616,24548914
28885618,28486629
24235325,24075785
24068292,23936687
28164949,27823323
23973661,23815604
24480430,24271525
25703915,25515218
24434805,24221419
24343477,24133011
24533614,24307184
26723905,26534229
24475944,24252159
33226059,33024375
24702185,24433845
24011192,23873021
24125355,23960984
24831165,24620294
25879202,25566780
24052571,23919698
23866194,23731075
24483024,24260156
27868757,27666457
24451937,24306725
25472365,25245379
24070260,23944113
24646701,24489240
24983070,24765896
24824005,24623122
25093827,24890878
25194889,24958257
24334263,24128494
24944165,24733450
24107826,23948189
28048821,27672648
23920290,23761273
24959978,24712705
44136004,43998470
45936729,45672162
41058389,40780362
24868247,24705706
24722801,24532118
23676240,23529227
24648613,24345940
27318413,26970929
24413616,24208676
24402413,24236721
23988763,23801276
27753256,27355181
24410042,24234082
24383209,24205905
26663174,26318335
24527367,24317738
28930044,28514002
24500549,24305631
23906221,23773841
24163459,24018257
24423281,24295432
24232509,24085213
24525556,24315327
25164005,24896305
24068252,23874013
24219192,24080023
23660262,23536250
24974079,24759273
26445115,26206737
23923362,23807485
25414293,25178651
24779698,24589032
24769944,24542212
24063240,23869921
24695289,24507084
28232661,27846254
24054864,23837214
24548247,24329972
24143533,23949799
24497410,24371415
24180064,24061063
24106617,23889437
24425012,24228495
24349255,24157796
29062228,28691245
24221954,24017957
24646530,24414768
24539749,24340389
25024828,24800099
24413059,24161236
24207171,24012848
24577128,24372512
24646572,24414716
25564643,25315883
25150650,24905385
24954141,24705947
24446686,24232890
24415074,24270350
24876566,24626345
24233442,24019244
24824322,24544785
24472751,24328203
27529923,27375777
27493276,27298839
25749333,25466828
25326800,25069452
27460866,27309410
23873934,23680593
24148300,23957022
24167225,24037568
24246229,24109119
25343244,25115143
24779122,24580344
24381654,24256272
24717642,24524865
24343438,24126054
24480492,24296767
24203721,24072173
23807782,23587763
24475715,24270050
24026595,23881787
24341976,24194837
25158309,24910127
24264618,24054821
23831323,23687545
25781241,25487887
24089320,23978650
25166128,24958874
24860884,24649240
24825110,24696948
25999946,25720938
24980852,24776224
24548971,24340887
24223032,24045880
23905119,23789813
23971546,23835723
23717139,23572443
25394142,25137663
24433346,24238769
23929157,23808018
23688722,23528736
24090302,23918376
25034418,24826534
24401833,24274947
23967007,23821537
24290727,24107313
24700950,24461061
25183560,24965785
24836951,24667181
24560584,24427135
25025006,24829792
24524978,24382321
24614781,24396294
24041850,23900529
23993773,23874406
24550476,24340441
24991269,24766761
25437907,25190623
24170687,24042177
24533239,24315373
23730504,23613666
25122789,24896628
25714897,25354529
28035328,27612059
24522474,24396259
24531154,24389983
25370577,25110240
24130727,23993260
24481369,24278820
24641865,24453102
25665505,25410994
24541764,24337109
24474171,24256571
24200710,24073232
24197209,24050995
24413873,24181168
24311614,24115936
25104266,24878789
27406271,26988012
25319500,25092045
26152963,25841658
24672116,24462293
23674482,23549447
23916874,23777576
23780794,23652190
23716187,23589757
24469675,24338715
25022620,24754554
26638193,26328945
24039225,23894873
24377943,24176509
26719656,24800181
23639418,23515730
24281032,24147962
24089068,23969581
24214364,24028336
24719613,24467970
24308917,24116111
24417036,24208772
23996937,23865193
24099104,23968090
25085551,24855876
24664490,24502758
24479971,24274466
24453936,24251714
23983208,23778839
23829441,23682504
24521289,24274544
24887207,24665088
24386848,24191658
25886751,25689909
24240219,24032787
24155048,24036783
23714585,23598572
24959113,24707478
23828396,23690834
24045648,23849016
27225610,26968891
26793249,23661245
24035132,23803068
25388447,25093187
25225519,25082663
24101683,23929082
24813121,24616098
23884387,23675339
29029277,28902596
24346119,24156692
23994762,23841762
24197980,23988919
24224601,24024957
24949981,24732263
27889682,27525023
25021552,24820208
24868690,24658682
24538372,24300810
25287379,25030758
24234597,24039911
23799844,23651611
24079757,23960787
24140200,23911274
27502975,27314329
23894554,23681670
25168518,24916856
24020056,23888836
24932323,24672990
24150645,24020445
25589219,25321604
24874404,24663177
24282047,24075226
23844871,23708024
24507665,24282642
24545447,24362560
24221129,24003513
26158005,25874705
24509711,24299574
26519214,26203418
24416271,24217105
24448089,24232399
24396836,24203459
25477339,25256327
24095526,23967332
24123649,23925861
24626339,24436895
24939645,24692789
24287500,24082116
24232859,24009785
24689096,24476274
24644781,24491309
23420669,23290740
23742125,23604653
24333019,24135933
24506068,24293364
24216359,24030982
25300112,25060087
24116846,23903574
23658595,23524250
24749776,24525345
24509959,24256160
24052578,23880557
26317591,25984633
24342761,24107980
24418206,24209914
24223299,24047823
24306266,24085749
24121879,23913931
24241525,24113374
24319781,24091652
23663413,23521028
24505560,24291205
23754129,23630875
24585787,24334173
24538368,24335664
23796319,23660009
29319203,28878974
24043841,23919641
27484243,27279727
25791613,25518905
25547593,25239288
27630140,27451716
24027188,23852554
24255480,24079676
25569966,25333356
25152351,24878915
26042511,25750061
25646168,25374379
28532495,28199260
23226101,23098153
27561368,27201420
24226807,24000919
25021178,24792211
26391601,26114336
24801784,24580450
24238262,24041518
24986261,24786658
25827801,25574309
24597287,24347153
24548915,24327364
23755390,23629767
23921661,23787753
25511447,25250690
23780138,23649580
24377698,24163229
27728249,27328207
24641981,24500855
23977981,23787610
24603241,24406632
24262848,24055082
24983411,24789884
24159228,23948458
23963034,23788999
24687754,24455090
24678180,24453496
25936788,24207384
24024522,23879661
23877638,23720254
24016448,23879358
23862279,23620325
25613805,25323567
23921289,23783168
23820549,23710271
24030829,23901732
27333813,26942759
39981326,39853078
23673927,23547785
23914235,23701065
23527183,23407204
26948970,26582270
25186989,24968068
23874482,23742210
24869243,24640679
24150465,23954480
24187640,23925772
24400660,24204880
25370575,25101221
24322387,24129926
24122428,23959534
26391400,26101877
24827889,24589646
24735032,24483051
27392916,26940654
24403408,24229298
24384486,24200335
27429793,27212620
24119084,23927937
24248561,24039783
24130314,23982031
24332026,24112937
24527868,24336209
28532301,28116018
25137909,24881465
23994980,23869060
23810559,23602215
28731909,28528100
23993934,23851345
24163936,24047709
23800601,23592418
24335143,24145751
24712652,24499822
24071124,23932133
24715439,24466400
24802565,24584673
25351527,25109833
24478730,24296720
24164417,23954603
25004956,24789233
25062747,24845070
24673632,24442908
25232486,24979831
25765429,25491583
24226276,24102010
27776005,27420207
23897641,23763700
28131871,27883767
24598887,24470263
28109918,27885755
24382958,24177379
24784888,24547945
23700303,23570961
23772660,23614365
28370343,27957939
24981395,24790446
24443759,24235351
23783403,23641313
25301207,25056543
25394341,25072034
24564283,24382427
25490371,25243337
24354636,24151393
23986224,23755225
24380379,24149060
24004553,23875659
24246746,24019932
27522157,27301285
33344035,33097545
25103269,24854274
28498843,28234032
27500402,27305045
24457275,24264528
25292689,25061539
24606731,24363003
24599272,24412191
24051630,23849915
24323325,24042546
44643317,44428167
24049052,23813414
23948171,23788578
24177712,23977691
24152387,24030184
27341673,27101678
24128217,23943291
25334091,25074696
24688725,24444831
23758871,23641915
24380812,24165104
27557628,27226733
25354793,25183446
29687480,29222557
24986463,24709125
24382172,24126832
23584730,23465922
24563855,24365580
34572637,34431117
24604138,24398060
28786395,28400169
24676595,24443272
24394335,24199052
23970768,23847596
24784367,24647294
24526504,24331528
24325412,24133096
23691448,23560642
23831540,23716533
25313286,25060427
24042519,23843979
29005114,28605932
23534930,23413324
23673901,23520078
24615643,24436919
24065123,23891879
24188599,23993135
28662327,28258073
23787122,23675646
25964998,25852426
24234578,24083038
23621470,23490336
24757730,24568522
25283005,25040784
25280797,25072279
31308380,31184633
25287058,25037905
24517103,24319854
24289601,24116345
27857792,27647369
24354722,24162124
23626141,23507076
24373004,24156441
24709729,24527247
24220458,24029762
23882901,23770986
24233369,24095453
26041064,25798805
24367334,24174716
25764009,25454504
24204275,24028842
23919019,23798956
24343796,24135557
25132951,24905966
24143810,23930284
24816792,24582279
24594579,24462828
24543472,24342050
24534167,24343972
28845158,28460309
23868043,23756007
24169252,23995710
24493083,24340193
27980660,27786531
27854260,27716379
24837596,24642833
24679740,24492153
24555835,24373372
26531851,26209471
24016308,23891452
24846855,24610821
24602107,24427526
24177233,23963099
24198891,24006087
27608819,27201872
25895208,25622694
23919345,23796777
24575677,24395966
24537938,24328477
24056344,23945218
23966962,23787050
26567948,26245517
26007518,25723847
25940927,25711368
24255329,24046081
25439285,25221447
26753226,26460661
24604928,24385507
24621948,24416713
26047282,25770877
24383854,24207618
24908893,24664011
24545567,24360230
24070755,23962808
27895395,27751198
25003884,24788759
24090981,23912611
24144264,24016850
24710349,24464045
23959798,23845069
25412265,25216478
24609212,24388481
24308170,24192752
27914782,27732555
24535753,24340429
23834937,23629664
23856291,23740069
24216506,24027462
24163082,23957871
24812909,24623951
23772489,23593676
28147091,27722447
24916258,24712595
24358491,24266999
23898668,23762269
23966278,23767052
24985771,24798628
26027066,25728769
25338271,25126516
24169336,24057737
24417427,24230983
31231597,31089213
24671427,24448009
24728595,24484110
25016294,24823868
28628860,28237079
24129771,23938872
26325505,26026775
24632050,24424931
23957995,23769434
25360359,25145093
36731795,36610119
55253214,54974128
24580717,24370771
25408411,25214714
24599374,24398818
25121075,24863640
24348418,24149144
35543811,35347996
23840657,23704994
24529219,24330955
25696962,25423335
24097934,23976033
26082649,25798183
23736322,23623653
24129221,23951955
23838597,23709328
23924162,23809853
24249032,24068860
25307607,25075346
24614064,24376346
23651895,23538418
24108628,23984972
24063709,23860343
24077295,23948045
24115829,23939359
23848705,23693247
24445447,24243723
25601784,25356930
24662035,24451778
24718610,24503691
24660179,24462044
24099407,23912370
24395163,24280717
24124622,23987880
24166364,23964934
29828335,27979068
24187744,24023952
23760802,23632659
24422051,24243021
24549893,24407859
24000062,23882292
27887896,27526798
25249976,24997440
24591998,24397837
23812006,23686051
25503911,25244811
24156153,23980441
24689853,24463251
24111535,23909669
28311690,28125230
25100610,24874207
25080921,24839252
24720890,24498105
25159064,24945739
24254617,24049965
24245782,24054887
24574613,24370344
26156060,25844793
23787532,23607305
25438138,25141539
23687637,23547257
25742877,25473967
24458616,24337124
24045015,23882959
24116231,23993076
24218864,24099051
24619234,24406545
25589520,25311098
24575969,24459273
25115694,24876369
24320176,24129465
27530960,27223267
24482181,24283699
23661379,23545094
26012487,25684180
24853429,24671517
24337010,24147063
24989541,24760235
23909348,23773119
23959686,23794697
23920088,23806558
25096575,24901798
25171988,24983320
25068515,24950517
25377462,25214671
27937002,27591523
25648477,25402403
23907848,23713669
24532735,24288138
24364905,24157746
24535077,24356855
24050441,23869256
25098499,24890526
24071572,23953580
24445044,24276721
24046482,23855652
25268018,25005764
24363917,24172461
25424181,25243705
24690248,24477913
25253026,25059865
24619421,24420370
24062142,23945754
24477439,24283426
25158510,24952542
23659670,23532402
24845587,24649455
23939883,23824627
24699208,24568433
24648859,24536347
25584903,25351168
26154227,25879021
24038288,23857618
25216280,25016171
25175043,24972902
26347586,26028397
25016682,24807785
24407055,24224231
24068047,23871707
24140046,24000035
24470485,24269101
24414383,24238552
26120367,25800923
23955134,23826499
24761505,24602917
24702251,24500943
25797434,25528181
24227028,24046801
28960214,28580618
24449038,24232306
25269473,25075324
25427760,25252820
27942492,27632321
25011379,24814328
23921543,23741235
24516422,24389639
23911425,23775863
24370690,24189228
25875679,25560535
24032937,23908076
24545542,24339670
23593858,23468473
24543246,24338426
23709747,23561506
25318028,25066435
34006245,33830097
24696845,24494467
24222822,24007302
25191338,24950942
24420136,24310561
24570869,24348253
26641240,26307616
24095352,23890625
24453067,24226178
24120227,23903574
25204420,24987688
24288459,24102042
24399695,24279258
26064934,25786243
27412255,27291490
25522239,25285219
24928017,24694826
26168634,25876397
24527440,24348405
25243446,25000910
24096342,23975996
25045710,24806625
27318050,26945096
26531231,26241113
23628429,23531360
26577221,26271098
23774518,23624309
25013103,24807386
24700017,24497310
24068667,23926225
25951572,25679124
24458131,24289781
24653164,24431618
24014661,23891431
24134073,23937462
24258491,24131939
23764804,23567260
24611764,24415560
24795556,24542315
24702702,24479670
24966222,24751227
23971492,23847139
23758786,23576536
24277012,24078542
26748646,26433177
24332980,24146636
24382220,24177339
24527551,24330957
26195067,25901619
25178007,24994520
24001542,23782841
24031764,23846383
24529575,24316756
24305793,24120931
23973689,23836714
24139517,24024246
24124192,23934043
27359174,27160142
50939893,50718510
23780892,23642222
24961356,24693700
24343488,24144129
26976710,26647405
24458164,24254309
24213739,24048356
24283140,24071163
26816426,26501997
25202615,24969780
24155617,23983271
25062942,24829399
25350806,25095081
23759049,23640645
24405451,24205565
26356496,26055547
24579184,24361816
24064429,23890581
25822113,25529474
24739053,24548619
23941304,23807769
24212735,24009182
27660777,27479430
24011685,23808475
24043697,23864835
25838153,25591127
24504312,24326219
25247877,25028105
24370847,24258431
