TS,TJ
249763124,249533995
212579278,212208729
218832532,218680964
223065217,222929400
240246935,240078678
241477950,241314704
235085039,234937176
227825893,227683118
238413943,238241408
230247497,229885810
241346484,240868814
210851477,210578234
219406447,219165403
229470444,229327443
229148113,228938667
234536164,234301954
246640093,246421294
242335793,242054135
253970891,253818213
255403334,255168315
257243639,256792833
220054569,219633760
235337880,235078972
235606425,235448174
246549074,246370952
249714631,249446537
237607544,237275905
259597653,259249994
273027842,272853809
274053708,273820570
275306666,274771915
236613593,236068494
242588765,242315763
232876083,232736514
238983263,238791326
245722091,245513922
236016496,235820166
250017672,249795427
242705183,242462068
255953370,255752019
243965727,243433957
217370311,217098495
230017745,229685650
233231034,233001213
249235185,249065284
246460710,246216419
247680793,247472070
240407233,240243389
250773542,250585862
242023636,241749664
252785467,252511445
228776775,228472970
246436691,246274499
243827437,243622616
245178038,244952559
247448321,247175222
254893181,254472054
253343332,252997877
263268142,263023305
264656741,264460262
248987008,248801181
195958503,195624938
225085846,224840324
230084368,229945407
228644074,228505892
249449839,249300192
244532279,244299176
258090300,257860547
253663885,253196406
243994991,243771680
260579111,260384420
202355392,201974486
245197003,244771495
259502449,259289774
259346148,259113905
249393953,249229225
253322229,253139901
254483635,254273686
259061323,258896701
263895743,263581602
260624994,260438123
231871248,231376728
227816718,227598261
245946271,245597874
248334806,248041994
248824101,248643924
244728449,244556190
236796607,236580408
247821918,247621025
253351236,253005384
250421840,250225446
220576611,220254117
220811827,220511436
225973125,225646966
237071527,236784985
247354115,247127540
250937772,250645313
258742884,258438224
264858114,264718030
273627183,273346015
275454335,275161437
235515608,235072659
242766344,242425786
245395241,245248172
248386665,248267895
261832913,261568215
255626487,255390596
269932309,269708295
280534191,280271759
265966076,265544367
298337892,297680667
203389347,202918273
220852215,220476660
223123161,222926192
226516830,226310795
243865871,243494916
242911705,242788303
244251698,244127867
249370433,249110346
240098231,239881430
242472086,241987078
218720210,218516416
227364909,227125735
225613230,225478691
231861298,231674377
244399256,244195506
230324250,230189610
245831422,245584573
237382728,237226389
257069241,256534896
246176857,245668468
222143381,221834766
233893584,233718446
234514120,234314021
241773011,241489594
243123887,242954197
248070380,247818017
244494052,244259102
252644002,252506192
251998172,251846939
242058809,241895953
235813486,235556121
237930971,237799190
248016505,247898220
246732067,246466923
243553233,243336232
247881915,247709285
250025254,249826073
244005103,243639062
252800299,252547595
259997379,259801740
221564551,221159553
222063588,221780939
237606684,237298924
258548898,258374907
257482116,257331320
258610188,258396851
266849503,266666106
269027236,268845295
271922593,271618563
264852003,264280764
207967194,207757796
223982676,223786421
232519045,232254275
247411236,247087619
234549431,234423991
244849841,244682324
245804262,245589456
247908271,247718669
253659378,253530035
261790448,261307523
207626070,207421716
210633707,210496287
225147782,224919786
224121796,223943865
243175915,242609885
238498737,238293440
237593455,237363911
247217119,247022222
238860482,238653691
252722726,252385400
218879736,218505202
226043218,225809365
240019161,239765876
242805193,242628716
244958796,244777126
235963702,235741223
242381285,242035561
259519387,259163379
244443929,244139795
250250168,249846091
230319606,230018142
228726680,228522642
231846405,231679563
230301615,230045649
247382415,247147131
236560712,236403086
248447005,248280945
245803536,245695491
237971423,237794368
249496996,249355289
224404781,224191904
220679589,220406365
242927987,242723293
225153823,224968668
236867857,236751781
244215679,244034099
234428452,234240354
243460620,243298100
251162768,250960947
256935203,256780001
213431523,213023431
227596719,227378282
229381353,229260485
242484518,242207941
235216981,235013891
239804727,239682547
235653034,235536496
234411131,234235164
231768175,231345238
243200052,242679927
256556631,256299569
262681657,262353086
266598778,266372687
266813294,266626828
273676228,273514355
273288315,273061201
279133192,278956099
292438644,292163386
289733631,289320130
277815021,277335661
228359484,227938133
224424379,224277711
227288343,227180643
233340667,233063115
249811098,249499794
256614658,256460100
255584099,255365662
256563071,256403199
257225847,257071036
257156660,256884024
230955409,230544447
240225597,239958006
230015220,229910611
239785013,239613186
231073482,230974538
233563451,233470746
235480300,235234609
244628584,244534471
239336288,239116826
247868173,247589724
204940677,204698464
230900855,230754216
216554237,216438406
226441435,226243936
228857714,228689364
226010694,225910323
235867948,235404358
225005313,224777789
237316222,237080284
232726518,232530748
205023119,204797325
218192076,217929223
230658451,230520872
238157128,237925925
230898801,230802319
233291655,233107987
238318080,238218192
248251580,248022941
248337873,248180671
256848710,256700432
207014326,206805037
223390576,223159159
235763517,235614647
232487571,232311954
238674384,238515781
238508458,238413399
244240575,244072544
254027721,253765725
250519358,250136693
240336778,240122521
207524744,207225476
224841131,224633068
225289506,225108919
228570806,228270000
242059685,241832756
253728575,253484367
254538957,254360450
258680564,258458456
253689878,250111487
254224900,250531106
212654706,212480239
215560982,215464279
211765679,211663919
233083127,232978763
238247217,238136377
226427260,226165416
233367517,233267300
230966640,230685956
227041931,226755382
228490918,228190705
211081198,210675029
203980495,203787362
208721174,208612846
232309848,231808432
235465591,235236619
236899458,236763989
240326852,240216586
239553457,239358600
228281625,228148693
228506937,228370564
205007951,204818874
224089750,223764519
225816253,225613618
226633267,226530124
223052424,222898086
224691546,224512466
226082785,225865123
233018686,232794911
240612933,240351687
248496923,248061666
221263189,220895919
219728738,219520294
224115421,224001220
220014272,219829735
233983294,233776242
223535999,223370160
225628452,225467894
228563979,228283617
241019577,240877696
242543427,242396506
204538844,204363622
220328201,220132321
208669619,208573307
215480884,215387812
233725687,233481652
243148156,242938115
236415777,236204540
233873992,233783175
242258889,242079069
250685057,250511134
218849469,218481079
237886217,237757595
242913274,242705359
232100148,231941219
238337197,238011133
257327439,257133392
254311191,254064344
245274739,245076399
245419235,245209704
256603224,256332104
223917706,223617543
234745804,234468369
231876690,231723456
225467549,225271385
239380846,239252138
236318481,236218623
243038592,242866766
242563953,242260482
247430395,247214729
241139213,240729924
250669530,250389005
251483773,251211513
249410065,249251268
251617941,251497920
254704477,254567799
263893107,263583525
261293006,261128355
258018944,257802019
268222999,268004942
263806353,263396979
210472646,210233170
229834401,229692992
227366502,227191367
240718755,240442794
236243255,236112114
237587067,237500293
242883067,242793847
251135088,250971760
240256910,240053388
254650636,254486411
193082791,192849262
229870432,229622729
227292202,227138668
229433313,229300801
231692461,231508856
234238228,234146480
224512348,224380427
241602379,241446068
229535569,229247871
245598760,245260712
223872676,223363958
226511401,226187159
238368206,238200987
243307066,243170748
236766486,236560986
237622076,237536490
241730712,241546914
242342968,241930656
254316129,254075146
246405099,246319390
219291630,219072951
220776019,220685383
219242192,219058524
227200853,226981615
229169669,228990270
227577458,227435882
243986264,243875607
244314172,244193112
247672285,247353287
240914582,240618857
218009623,217723784
210641871,210469346
223523813,223376024
225664168,225568895
227831370,227677977
228207907,228055035
226050686,225961159
233445517,233137057
249857725,249688276
249808718,249620663
219726831,219459699
231381513,231147775
235558849,235399370
233909787,233772353
238590739,238280200
228088636,227945155
244959623,244796076
240660094,240509510
231083870,230918349
248016699,247739995
213664123,213367234
225535094,225412079
223096423,223003538
228009293,227770848
235761383,235576281
236097257,236008695
237261973,237095105
250134343,249745801
246274041,246068790
263770303,263612376
189138957,188881877
222669348,222434474
232266579,232077262
225997109,225827950
237276847,237010510
229197944,229111046
237453591,237308788
238803329,238609974
233333085,233154169
235590946,235289724
220594684,220295643
245157200,245001932
251465532,251276939
247097154,246952811
247043058,246895935
263227011,263070212
257884351,257729979
263539137,263322364
259113619,258991692
264512922,263474451
290033042,289740137
286335920,286196396
302303725,302212094
298853850,298725007
311458859,311345830
313102414,312895791
310893322,310755230
310938188,310760983
313197407,313067783
321748124,321656359
221655061,221476889
238055140,237918052
228032606,227936171
229254624,229034733
246778820,246559484
242892653,242732503
257268545,257007287
239703446,239602138
249009580,248775251
249959221,249861770
224545553,224304041
215916723,215728493
219424752,219328959
224379694,224258876
237202143,237070605
241471538,241374425
248785127,248549516
245912044,245598130
251632552,251406197
248105947,247764661
389157815,388825481
393291165,393116779
377245262,377154402
380647935,380559141
398046268,397898273
386496017,386292519
402693798,402540048
399513093,399350750
415419204,415268086
395244178,395111002
183571049,183306186
206346546,206099208
216740506,216580032
219843716,219705908
229651036,229448193
234963802,234731475
231241393,231083954
228431788,228331519
234078653,233825455
236154759,236022917
201158219,200677963
217197852,217050990
227479683,227352382
232209958,232039471
235692133,235529364
238761900,238613578
232258916,232167194
243209273,243039688
248562663,248292964
242381239,241956969
216288883,215876753
211880253,211716380
232932179,232820982
230661703,230568747
256390995,256140974
243215192,243046025
234919606,234763150
254563236,254362705
253151890,252987625
249945332,249748358
223002425,222716640
223589804,223450450
230178701,230093410
232864681,232706415
225640582,225496087
226884124,226737901
231978750,231834598
233015821,232930906
241911085,241742331
245354645,245176842
221802345,221583291
216532021,216335774
223371256,223280161
220672881,220518612
229030325,228811628
222486283,222345175
243553515,243444130
241164487,241073002
233155086,232837721
242770532,242630776
221242815,220989512
225899719,225707291
238895771,238588112
226641783,226485099
232673690,232529299
233816453,233596893
237233517,237058280
246700645,246523362
241679779,241495303
246108181,242799478
192261917,192012438
214141147,213835669
219147972,218902094
225889360,225800142
221656674,221534096
228668916,228544691
230484781,230399250
225224538,225072540
235297069,235040095
241078370,240710579
213162040,212946345
227627544,227446054
236304855,236196015
229983689,229700233
238571559,238478270
228773318,228685570
239226345,239136250
246090406,245884042
241504707,241384051
249692706,249491141
222568598,222346710
228108412,227907809
234375305,234179837
233001475,232903579
235827454,235676685
244445663,244356243
241119865,240716291
243859878,243652747
240255072,239862991
252414495,252239268
200892226,200556054
216989568,216798939
222494807,222323338
227018133,226834053
240147513,240034020
236402411,236314993
232059873,231835741
239287668,239100586
239522672,239330497
250783757,250633175
178800752,178617639
226262489,226002445
222244672,222027576
217136421,216952989
227373403,227222818
243049639,242887498
228449530,228361494
237960821,237797645
255973346,255788291
249961985,249609613
227852521,227309238
219001537,218838971
229701719,229573743
232367762,232206684
227977561,227844412
242089251,241952580
242847167,242761863
240237258,240148232
240354914,240219201
247957515,247636478
219146818,218861834
240704058,240556722
247531285,247444239
245929525,245827856
238165751,237964933
234817559,234678064
244277640,244185344
251761715,251604308
247556054,247327505
261358006,261190366
215139979,214912631
223237832,223011443
218301991,218098708
221560743,221465336
223074671,222983771
220693609,220517967
227476663,227261833
229351970,229247138
223885264,223785765
223225980,222801622
206993284,206768580
235207424,235030568
231273425,231174087
232022394,231780378
241849356,241700016
233514726,233332660
241077671,240874868
241884241,241611058
239078058,238752440
253035645,252931645
38057960,37579820
183125896,182876142
210577820,210340794
190131793,190009997
201033739,200866302
201836005,201703440
193906843,193737023
209244009,209072560
210368645,210231862
206917842,206543355
206306761,206079217
238795647,238637467
231231427,231107866
236999664,236816483
250118062,249943356
245719982,245561239
247376774,247290603
258083202,257923537
251456508,251282032
263453766,263321730
238997299,238713817
243702343,243524139
234299860,234211065
241481931,241349897
237436841,237348674
237739533,237596900
249528132,249383821
246122720,246017035
256531497,256319017
259668280,259370708
219163746,218961376
231722355,231545996
225872520,225772557
238037050,237873021
239872370,239705502
242867884,242727027
242926851,242778232
243090919,242892876
248144519,247872790
251427200,251322340
180292797,180037336
216293762,216143588
218946018,218761864
236616692,236458495
225148234,225060852
248937871,248802247
239428719,239311492
231275005,231140577
251769813,251601850
237476536,237327098
231544404,231177364
235899968,235769049
